"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","355","Should update user","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.UserTests","User Tests","com.petstore.tests.UserTests","shouldUpdateUser"
"","374","Should delete order","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.StoreTests","Store Tests","com.petstore.tests.StoreTests","shouldDeleteOrder"
"","404","Should update pet status","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.PetTests","Pet Tests","com.petstore.tests.PetTests","shouldUpdatePet"
"","357","Should return 404 for non-existing pet","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.PetTests","Pet Tests","com.petstore.tests.PetTests","shouldReturn404ForNonExistingPet"
"","351","Should delete pet","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.PetTests","Pet Tests","com.petstore.tests.PetTests","shouldDeletePet"
"","367","Should logout user","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.UserTests","User Tests","com.petstore.tests.UserTests","shouldLogoutUser"
"","361","Should get store inventory","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.StoreTests","Store Tests","com.petstore.tests.StoreTests","shouldGetInventory"
"","347","Should create a new user","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.UserTests","User Tests","com.petstore.tests.UserTests","shouldCreateUser"
"","345","Should delete user","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.UserTests","User Tests","com.petstore.tests.UserTests","shouldDeleteUser"
"","359","Should login user","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.UserTests","User Tests","com.petstore.tests.UserTests","shouldLoginUser"
"","433","Should place a new order","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.StoreTests","Store Tests","com.petstore.tests.StoreTests","shouldPlaceOrder"
"","384","Should get order by ID","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.StoreTests","Store Tests","com.petstore.tests.StoreTests","shouldGetOrderById"
"","682","Should find pets by status","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.PetTests","Pet Tests","com.petstore.tests.PetTests","shouldFindPetsByStatus"
"","2446","Should create a new pet","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.PetTests","Pet Tests","com.petstore.tests.PetTests","shouldCreatePet"
"","378","Should get user by username","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.UserTests","User Tests","com.petstore.tests.UserTests","shouldGetUserByUsername"
"","419","Should get pet by ID","Petstore API Suite","2026-03-28","passed","2026-03-28","com.petstore.tests.PetTests","Pet Tests","com.petstore.tests.PetTests","shouldGetPetById"
